#,name,batch,date_announced,link,description,type,career_stage,personal_links,personal_info,mr_posts,project_links,,,Categories
97,Praveen Mishra,"India, 2nd cohort",2020-07-30,https://marginalrevolution.com/marginalrevolution/2020/07/emergent-ventures-india-second-cohort-of-winners.html,"Praveen Mishra when he was 16 started the Power of Youth, a non-profit aimed at empowering rural students by giving them mentorship and conducting competitions to highlight their potential. He since has been building a ‘YouTube of e-commerce’. He is the founder of ByBuy, an omni-channel retail platform, and he received his EV grant to help with this launch.",Career development,,https://in.linkedin.com/in/praveen-mishra2001,Co-founder ByBuy (Tohands.Pvt.Ltd),-,https://poweryouthindia.wordpress.com/2018/07/29/village-talent-hunt-exam-a-wonderful-journey-of-dreams-of-bharat-part-1/,,,
98,Akash Bhatia,"India, 2nd cohort",2020-07-30,https://marginalrevolution.com/marginalrevolution/2020/07/emergent-ventures-india-second-cohort-of-winners.html,"Akash and Puru are the co-founders of Infinite Analytics (IA), a Boston-based company whose proprietary AI platform analyzes customers’ data. They received their EV grant to repurpose their platform for Covid containment to help governments and authorities in India with contact tracing and mobility analyses. They have since helped millions of users, and their Containment Zone analyses are becoming the bedrock for lockdown exit strategy in Mumbai and Pune. Here is a video about the project.",Startup,,"https://www.linkedin.com/in/akashbhatia
https://twitter.com/akashbhatia","Co-Founder & CEO, Infinite Analytics",-,https://infiniteanalytics.com/,,,
99,Puru Botla,"India, 2nd cohort",2020-07-30,https://marginalrevolution.com/marginalrevolution/2020/07/emergent-ventures-india-second-cohort-of-winners.html,,Startup,,https://www.linkedin.com/in/purubotla,"Co-Founder at Infinite Analytics, Inc",-,,,,
100,Mohammed Suhail Chinya Salimpasha,"India, 2nd cohort",2020-07-30,https://marginalrevolution.com/marginalrevolution/2020/07/emergent-ventures-india-second-cohort-of-winners.html,"Suhail is a 19-year-old senior grade homeschooler. He dropped out of high school to work on finding new ways to quantify protein in serum applied on a faster diagnosis of malnutrition. This is his TedX talk on the project. He diverted his efforts towards Covid, to create India’s first multi-language Covid symptom checker, which was adopted by some local authorities before the Government mandated an alternative. He is currently working on solving problems in containerizing applications, Enterprise Cloud, low latency API communication, and 5G In Social Tech Democratization.",Career development,,-,-,-,https://www.covidselfcheck.app/,,,
101,Manasseh John Wesley,"India, 2nd cohort",2020-07-30,https://marginalrevolution.com/marginalrevolution/2020/07/emergent-ventures-india-second-cohort-of-winners.html,"Manasseh John Wesley is a 21-year-old from Hyderabad, India, studying engineering and technologies like embedded systems megatronics/machine learning/data science/digital communication systems. He is the founder of River Bend Data Solution, a data science company with health care applications. He received an EV grant to create a platform for hospitals to provide X-rays and CT scan images and to use AIML to identify at risk districts in Andhra Pradesh.",Startup,High school,https://in.linkedin.com/in/john-wesley-manasseh-b35154184,-,-,https://riverbenddatasolutions.com/,,,
102,Vidya Mahambare,"India, 2nd cohort",2020-07-30,https://marginalrevolution.com/marginalrevolution/2020/07/emergent-ventures-india-second-cohort-of-winners.html,"Dr. Vidya Mahambare is a Professor of Economics at Great Lakes Institute of Management working in macroeconomics as well as cultural and social economics issues. Dr. Soumya Dhanaraj is an assistant professor of economics at the Madras School of Economics, working in Development Economics and Applied Microeconomics. Their grant is to support their work in labor market and migration distortions.",Research,,https://www.greatlakes.edu.in/chennai/faculty/vidya-mahambare,"Professor
Chairperson, UB-GL Centre for Banking Excellence
Great Lakes Institute of Management

Area of Expertise: Microeconomics, Macroeconomics, International Trade, Development Economics",-,,,,
103,Sowmya Dhanaraj,"India, 2nd cohort",2020-07-30,https://marginalrevolution.com/marginalrevolution/2020/07/emergent-ventures-india-second-cohort-of-winners.html,,Startup,High school,https://www.mse.ac.in/faculty/sowmya/,"Ph.D. in Development Studies, Indira Gandhi Institute of Development Research (IGIDR), Mumbai. 2017

M.S. (by Research) in Financial Economics, Indian Institute of Technology (IIT) – Madras. 2011

B.E. (Hons.) in Electrical & Electronics Engineering, Birla Institute of Technology & Science (BITS) – Pilani, Goa Campus, 2008.

Research Interests :
Development Economics, Applied Microeconomics.",-,,,,
104,Onkar Singh,"India, 2nd cohort",2020-07-30,https://marginalrevolution.com/marginalrevolution/2020/07/emergent-ventures-india-second-cohort-of-winners.html,"Onkar Singh Batra is a fourteen-year-old web developer from Jammu and Kashmir. He developed and published his first website at the age of seven and holds the record for the World’s Youngest Webmaster. Furthermore, his book ‘When the Time Stops’ made him hold the record for the record of ‘World’s Youngest Theoretical Author.’ Recently, responding to the Covid pandemic, he received his EV grant for the web applications named –‘COVID Care Jammu’ and ‘COVID Global Care’, which connects doctors with users and helps users do a free anonymous Covid Risk Assessment test. Onkar built his website keeping in mind slow internet speed and limited access. He has plans for many future projects, including working on a bio shield for 5G radiation technology.",Career development,High school,-,-,-,https://www.covidcarejammu.in/,,,
105,Nilay Kulkarni,"India, 2nd cohort",2020-07-30,https://marginalrevolution.com/marginalrevolution/2020/07/emergent-ventures-india-second-cohort-of-winners.html,"Nilay Kulkarni is a 20-year old software developer and he previously worked on a project to prevent human stampedes at the world’s largest gathering – the Kumbh Mela. His project’s implementation at the 2015 edition of the event in Nashik, with over 30 million attendees, led to the first stampede-free Kumbh Mela in the city’s history. Nilay has also spoken at TEDx New York about the project. He has worked on assistive technology for people with ALS enabling them to control phones using their tongues. He received his EV grant for the tech development of the MahaKavach App, the official quarantine monitoring and contact tracing platform adopted by the state government of Maharashtra. So far, the platform has helped reduce the time needed for contact-tracing from 3-4 days to 25-30 minutes, and he is now working on open-sourcing the platform for greater impact.",Career development,High school,,-,-,https://play.google.com/store/apps/details?id=com.mahakavach,,,
106,Data Development Lab,"India, 2nd cohort",2020-07-30,https://marginalrevolution.com/marginalrevolution/2020/07/emergent-ventures-india-second-cohort-of-winners.html,"Drs. Paul Novosad and Sam Asher are previous EV grantees for creating the SHRUG database at Data Development Lab. The SHRUG is an ultra-clean geocoded database describing hundreds of dimensions of socioeconomic status across 8,000 towns and 500,000 villages in India. Everything in the SHRUG is carefully linked, extensively vetted and documented, and ready for immediate application. In addition to continually expanding the SHRUG, they recently received another EV grant for a second platform oriented toward informing the COVID-19 response in India. This platform has a wealth of linked pandemic-related data (e.g. hospital capacity, health system use, agricultural prices) not available anywhere else and is directly feeding several COVID response research and policy teams.",Non profit,,"https://economics.dartmouth.edu/people/paul-novosad 
https://sais.jhu.edu/users/sasher2 ","Paul Novosad
ASSOCIATE PROFESSOR OF ECONOMICS
Academic Appointments

Sam Asher is Assistant Professor of International Economics at Johns Hopkins SAIS and cofounder of Development Data Lab.","https://marginalrevolution.com/marginalrevolution/2021/05/where-next-forecasting-covid-in-india.html

https://marginalrevolution.com/marginalrevolution/2019/09/the-shrug-platform-is-now-open.html
https://marginalrevolution.com/marginalrevolution/2021/08/markets-in-everything-65.html 
https://marginalrevolution.com/marginalrevolution/2021/06/north-vs-south-india.html 
https://marginalrevolution.com/marginalrevolution/2020/04/emergent-ventures-india.html 
https://marginalrevolution.com/marginalrevolution/2020/05/monday-assorted-links-253.html 
https://marginalrevolution.com/marginalrevolution/2019/09/how-much-does-advertising-matter-anyway.html 
https://marginalrevolution.com/marginalrevolution/2019/05/emergent-ventures-fourth-cohort-of-award-recipients.html 
https://marginalrevolution.com/marginalrevolution/2020/05/why-the-fda-is-banning-the-gates-connected-testing-kits.html 
https://marginalrevolution.com/marginalrevolution/2020/06/should-departments-own-and-control-journals.html 
https://marginalrevolution.com/page/230?%2Finspired%2Farticle%2F1354 ",https://nam05.safelinks.protection.outlook.com/?url=https%3A%2F%2Fgithub.com%2Fdevdatalab%2Fcovid&data=02%7C01%7Ckfair%40mercatus.gmu.edu%7C0dd8452dd2a642be767108d80740ba57%7C3935d3b92ba64346b5fc782c3b401577%7C0%7C0%7C637267322502467661&sdata=ErS%2Fzc4VvsoUrCAwiHug1sMKdOBtpo3IVlUgDtVcX5M%3D&reserved=0,,,
107,Deepak VS,"India, 2nd cohort",2020-07-30,https://marginalrevolution.com/marginalrevolution/2020/07/emergent-ventures-india-second-cohort-of-winners.html,"Deepak VS is a 23-year-old Mechatronics Engineer from Bangalore, India and he has worked on traffic and communications projects. He also founded a college club called 42 Labs that eventually grew into a startup company called Tilt, a shared mobility platform designed for Indian campuses but now in corporate parks, colleges, townships, and cities across India. Working primarily with electric bikes, Tilt is partnering with companies to help provide alternate mobility solutions to people who typically use crowded and unsafe public transport.",Career development,Middle,https://in.linkedin.com/in/ideepakvs,Founder at Tilt (YC W21),-,https://www.tilt.bike/,,,
108,Amit Varma,"India, 2nd cohort",2020-07-30,https://marginalrevolution.com/marginalrevolution/2020/07/emergent-ventures-india-second-cohort-of-winners.html,"Amit Varma is one of the most influential podcasters in India, and the winner of the Bastiat Prize in Journalism for his writing. He is the host of the iconic longform interview podcast The Seen and the Unseen, my chat with him on Stubborn Attachments is here and Alex’s appearances on the show here and here. Vivek Kaul is a prominent journalist and writer covering finance and economics. His most recent book, “Bad Money: Inside the NPA Mess and How It Threatens the Indian Banking System” was released earlier this month.",Podcast,,https://amitvarma.com/,"Amit Varma is a writer and podcaster based in Mumbai. He started his career in advertising, moved on to television, and has been a journalist since 2001.","https://marginalrevolution.com/marginalrevolution/2020/07/the-seen-and-unseen-rajagopalan-and-tabarrok.html 
https://marginalrevolution.com/marginalrevolution/2016/11/indias-demonetization-next.html 
https://marginalrevolution.com/marginalrevolution/2021/01/lessons-from-2020.html 
https://marginalrevolution.com/marginalrevolution/2007/04/today_is_arbor_.html 
https://marginalrevolution.com/marginalrevolution/2010/01/markets-in-everything-1.html 
https://marginalrevolution.com/marginalrevolution/2017/03/why-does-india-have-so-few-tourists.html 
https://marginalrevolution.com/marginalrevolution/category/current-affairs/page/26",https://econcentral.in/,,,
109,Vivek Kaul,"India, 2nd cohort",2020-07-30,,,Career development,,https://twitter.com/kaul_vivek,I am the Amazon Bestselling author of Bad Money—Inside the NPA Mess and How It Threatens the Indian Banking System and the Easy Money trilogy.,-,,,,
110,Raman Bahl,"India, 2nd cohort",2020-07-30,https://marginalrevolution.com/marginalrevolution/2020/07/emergent-ventures-india-second-cohort-of-winners.html,"Raman Bahl is a 2012 Teach For India Fellow. He has worked over the last decade in different capacities to teach students, train teachers, create curricula, and create systems of teaching and learning in the Indian education system. In the light of the pandemic, rural communities in India are not getting access to quality learning at home. In particular, students from poorer and marginalized groups cannot access to remote/online education launched by local schools because they lack internet access, televisions, and/or learning materials. Raman received his EV grant for creating a Voice-based Academic System for students in rural communities, to enable access to learning at home, through mobile phones. He is launching the system in Purkhas Rathi in Haryana and hopes to scale the system to more villages and states.",Non profit,,https://www.linkedin.com/in/raman-bahl-83124a60/,"Co-Founder and Director at LIFILearning Education Foundation
",-,-,,,
111,Vidyarthi Baddireddy,"India, 2nd cohort",2020-07-30,https://marginalrevolution.com/marginalrevolution/2020/07/emergent-ventures-india-second-cohort-of-winners.html,"Vidyarthi Baddireddy, Utsav Bhattacharya and Kajal Malik are Indian entrepreneurs focused on the employability of graduating students in India. In 2017 they founded Reculta to digitize campus placements. In 2019, they launched PickMyWork, a platform for onboarding gig workers and getting them to complete tasks for client organizations through a pay-per-task model. In light of the manpower crisis during the Covid pandemic, especially on the frontlines, they want to enable matching of volunteers to emergency situations. They received their EV grant for adapting PickMyWork as a local volunteer response system to emergency situations like Covid by using the platform to source, train and deploy volunteers across various projects and locations.",Startup,,https://www.linkedin.com/in/vidyarthi-baddireddy-32b9a521/,Co-Founder & CEO at PickMyWork - Helping Businesses Scale,-,https://www.pickmywork.com,,,
112,Utsav Bhattacharya,,,,,Startup,,https://www.linkedin.com/in/utsav-bhattacharjee-1a729925/,Co-Founder & COO at PickMyWork - Helping Businesses Scale,-,,,,
113,Kajal Malik,,,,,Startup,,https://www.linkedin.com/in/kajal-malik-678b5814/,Co-Founder & CSO at Pick My Work - Helping Businesses Scale,-,,,,
114,Harsh Patel,"India, 2nd cohort",2020-07-30,https://marginalrevolution.com/marginalrevolution/2020/07/emergent-ventures-india-second-cohort-of-winners.html,"Harsh Patel is an undergraduate student in electronics and communication engineering; his interests are in components, coding, and robotics. Hiten Patel is an electrical engineer interested in robotics, coding, and designing. They received their EV grant to develop robot prototypes that they call ‘E-Bot: Arogya Sahayak’ to potentially support hospitals, hotels, airports, workplaces, etc., to assist with basic tasks while maintaining social distancing.",Career development,High school,https://www.linkedin.com/in/harsh-patel-7b876a12a/,"R&D at TechSture Technologies
Harsh Patel is an undergraduate student in electronics and communication engineering; his interests are in components, coding, and robotics. ",-,https://www.youtube.com/watch?v=Jj6yzIL43rQ,,,
115,Hiten Patel,"India, 2nd cohort",2020-07-30,https://marginalrevolution.com/marginalrevolution/2020/07/emergent-ventures-india-second-cohort-of-winners.html,"Harsh Patel is an undergraduate student in electronics and communication engineering; his interests are in components, coding, and robotics. Hiten Patel is an electrical engineer interested in robotics, coding, and designing. They received their EV grant to develop robot prototypes that they call ‘E-Bot: Arogya Sahayak’ to potentially support hospitals, hotels, airports, workplaces, etc., to assist with basic tasks while maintaining social distancing.",Startup,High school,https://www.linkedin.com/in/hiten-patel-346372109/," Hiten Patel is an electrical engineer interested in robotics, coding, and designing.",-,https://www.youtube.com/watch?v=Jj6yzIL43rQ,,,
116,Vinay Débrou,"India, 2nd cohort",2020-07-30,https://marginalrevolution.com/marginalrevolution/2020/07/emergent-ventures-india-second-cohort-of-winners.html,"Vinay Débrou studied computer science and is a self-taught data scientist interested in psychology, data science, and new applications of network science for collaboration-generating contexts. He has also built resources for aspiring location-independent free-agents including a curated resources library and a weekly newsletter. Vinay received his Emergent Ventures grant to accelerate his ongoing project to build a network visualization/mapping tool (v0.1 here) to catalyze cross-disciplinary expertise-sharing and collaboration in Yak Collective – an open, networked community of 300+ (and growing) independent creators, consultants, and researchers.",Non profit,High school,"https://vinaydebrou.com/about/
https://twitter.com/vinaydebrou","Independent data-strategy consultant and a hobbyist-researcher in network-science, living space design and online communities
Web3 incentive-structures 
at RARA // Social NFT Auctions",-,"https://dataingestor.github.io/yakmap1/network/
https://www.yakcollective.org",,,
117,Sebastian Garren,10,2020-08-21,marginalrevolution.com/marginalrevolution/2020/08/emergent-ventures-winners-10th-cohort.html,"Sebastian Garren, to found John Paul II Preparatory School’s South Campus in St. Louis, a hybrid on-line and in-person educational alternative for K-12, also stressing Western history and the classics.",Non profit,,linkedin.com/in/sebastian-garren-a0559529,Founding director of St. John Paul II Preparatory South Campus - sebastiangarren.com/about/,-,sebastiangarren.com/about/,,,
118,John Durant,10,2020-08-21,marginalrevolution.com/marginalrevolution/2020/08/emergent-ventures-winners-10th-cohort.html,"John Durant, for career development and writing, and explorations into notions of angels.",Career development,,"twitter.com/johndurant?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
linkedin.com/in/jdurant ","NYT bestselling author of The Paleo Manifesto and Spartan Fit. Founder of Wild Ventures
wildventures.vc/ ","marginalrevolution.com/marginalrevolution/2006/11/id_like_to_try_.html
marginalrevolution.com/marginalrevolution/2013/09/book-and-movie-splat.html
marginalrevolution.com/marginalrevolution/2021/03/the-mortality-of-scholars.html",twitter.com/johndurant?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,,,
119,Mishka Orakzai,10,2020-08-21,marginalrevolution.com/marginalrevolution/2020/08/emergent-ventures-winners-10th-cohort.html,"Mishka Orakzai of Peshawar, Pakistan, to support her thiscodeworks project intent to make snippets of code more available.",Non profit,High school,twitter.com/mishkaorakzai,"Building thiscodeworks
Peshawar, Pakistan
pioneer.app/winners/mishka-orakzai ",-,"twitter.com/thiscodeworks?lang=en 
pioneer.app/winners/mishka-orakzai",,,
120,Krishaan Khubchand,10,2020-08-21,marginalrevolution.com/marginalrevolution/2020/08/emergent-ventures-winners-10th-cohort.html,"Krishaan Khubchand, 20 years old, studying law at Birkbeck, to study mega-projects and capital allocation, he is also a Progress Studies fellow.",Research,,linkedin.com/in/krishaan-khubchand-525474176/?originalSubdomain=gi,Progress Studies fellow,-,linkedin.com/in/krishaan-khubchand-525474176/?originalSubdomain=gi,,,
121,Vignan Velivela,10,2020-08-21,marginalrevolution.com/marginalrevolution/2020/08/emergent-ventures-winners-10th-cohort.html,"Vignan Velivela. He started as a robotics engineer at Cruise Automation, is a member of the Explorers Club (wiki, BBC) for his work on the lightest planetary rover at Carnegie Mellon, worked on a peer-to-peer lending startup in India that was acqui-hired by PayTm, went to college (BITS Pilani) in India studying EE and Economics, and now is co-founder of AtoB.",Startup,,"twitter.com/vignanv8
linkedin.com/in/vignanv8 ","Co-founder & CEO AtoB
 vignanv.com/
San Francisco, CA",-,"en.wikipedia.org/wiki/Cruise_(autonomous_vehicle)
atob.com/
vignanv.com/",,,
122,Wasteland Ventures,10,2020-08-21,marginalrevolution.com/marginalrevolution/2020/08/emergent-ventures-winners-10th-cohort.html,"Wasteland Ventures (no web page), to support their efforts in talent search and development.",Non profit,,-,-,-,-,,,
123,Witold Wiecek,10,2020-08-21,marginalrevolution.com/marginalrevolution/2020/08/emergent-ventures-winners-10th-cohort.html,"Witold Wiecek, Bayesian statistician and consultant, for his work on the Bayesian modeling of the COVID-19 epidemic, and the design of an optimal vaccine portfolio, in cooperation with the Accelerating Health Technologies team.",Research,,"linkedin.com/in/witold-wiecek-308089126/?originalSubdomain=uk
twitter.com/vientsek ",Blog -  wwiecek.github.io/,"marginalrevolution.com/marginalrevolution/2021/06/more-on-fractional-dosing.html
marginalrevolution.com/marginalrevolution/2021/06/a-half-dose-of-moderna-is-more-effective-than-a-full-dose-of-astrazeneca.html
marginalrevolution.com/marginalrevolution/2021/03/british-vaccine-efficiency.html?commentID=160237326
marginalrevolution.com/marginalrevolution/2021/01/we-will-get-to-herd-immunity-in-2021-one-way-or-another.html",linkedin.com/in/unavailable/,,,
124,Arthur W. Baker,10,2020-08-21,marginalrevolution.com/marginalrevolution/2020/08/emergent-ventures-winners-10th-cohort.html,"Arthur W. Baker, for his efforts on incentive design for vaccines, in cooperation with the Accelerating Health Technologies team.",Research,,twitter.com/aw_baker,"Associate Director of Research and Planning at the Development Innovation Lab  at UChicago
sites.google.com/view/arthurbaker/ ",marginalrevolution.com/marginalrevolution/2020/10/saturday-assorted-links-281.html,sites.google.com/view/arthurbaker/,,,
125,Barkha Dutt,"India, 3rd cohort",2020-10-08,https://marginalrevolution.com/marginalrevolution/2020/10/emergent-ventures-winners-new-india-cohort.html,"A further Covid-19 India Prize goes to award winning journalist Barkha Dutt for her reporting on the Covid pandemic and related crises in India.
Because of the Covid lockdown (March-June 2020), Indian news reporting and broadcasting faced severe disruptions in March-April 2020. For the first 50 days, as television networks remained studio-bound, Dutt and her small team traveled across India to report from the ground, producing over 250 ground reports. All the videos and reports are available on the MoJo youtube channel.
One of the world’s most severe lockdowns unleashed a massive internal migration from the cities to the villages in India. Dutt’s team was one of the first to shed light on the erroneous state policies concerning economic migrants in India during the lockdown,, often while walking alongside migrants. Her sustained coverage eventually led other stations and newspapers to follow and report similar stories and invoked a policy response from the government.",Writing (Book),,https://twitter.com/BDUTT,"Emmy Nominated Reporter. Columnist WashingtonPost. Editor, Mojo. Argumentative! Yaaron Ka Yaar",-,https://www.youtube.com/channel/UCrdPiSPVW0rtRsI002BX8iw,,,
126,Rukmini S,"India, 3rd cohort",2020-10-08,https://marginalrevolution.com/marginalrevolution/2020/10/emergent-ventures-winners-new-india-cohort.html,"Another Covid-19 India Prize goes to award winning data journalist Rukmini S, for The Moving Curve Podcast, covering the data issues in India.
She distills all the information, data, and her daily insights into a 5-7-minute audio update in the form of a free podcast, now at 92 episodes. The episodes range from getting to the heart of India’s death statistics, interviewing a rural doctor about what it’s like waiting for Covid to hit, to attempting to cut through India’s public/ private healthcare binary, and they have had significant influence on many state governments. The Moving Curve podcast is produced by a small team of two – Rukmini S and sound engineer Anand Krishnamoorthi. The podcast is available on the major platforms as well as on medium.",Podcast,,https://twitter.com/Rukmini," She is currently an independent journalist writing for Mint, The Print, India Today (where she is tracking the pandemic daily) and India Spend (she is tracking Covid mortality) and writes occasionally for The Guardian, SCMP and The Hindu.",,https://rukminiwrites.medium.com,,,
127,Andrew Dembe,11,2020-11-13,marginalrevolution.com/marginalrevolution/2020/11/emergent-ventures-winners-eleventh-cohort.html,"Andrew Dembe of Uganda, working on the “last mile” problem for health care delivery.",Startup,,ug.linkedin.com/in/andrew-mulumba-a7237017 ,"Founder of Heart for the Hurt
anzishaprize.org/fellows/andrew-ddembe/ ",marginalrevolution.com/marginalrevolution/category/science/page/9,anzishaprize.org/fellows/andrew-ddembe/,,,
128,Maxwell Dostart-Meers,11,2020-11-13,marginalrevolution.com/marginalrevolution/2020/11/emergent-ventures-winners-eleventh-cohort.html,"Maxwell Dostart-Meers of Harvard, to study Singapore and state capacity, as a Progress Studies fellow.",Research,,"linkedin.com/in/max-dostart-meers/
twitter.com/dostartmeers ","Partnership Specialist - 
overlooked.com/ 
Harvard",marginalrevolution.com/marginalrevolution/category/science/page/9,linkedin.com/in/max-dostart-meers/,,,
129,Markus Strasser,11,2020-11-13,marginalrevolution.com/marginalrevolution/2020/11/emergent-ventures-winners-eleventh-cohort.html,"Markus Strasser of Linz, Austria, now living in London, to pursue a next-generation scientific search and discovery web interface that can answer complex quantitative questions, built on extracted relations from scientific text, such as graph of causations, effects, biomarkers, quantities, etc.",Non profit,,twitter.com/mkstra,markusstrasser.org/,"marginalrevolution.com/marginalrevolution/2020/12/emergent-ventureswinners-12th-cohort.html
marginalrevolution.com/marginalrevolution/category/science/page/9",twitter.com/mkstra,,,
130,Marc Sidwell,11,2020-11-13,marginalrevolution.com/marginalrevolution/2020/11/emergent-ventures-winners-eleventh-cohort.html,"Marc Sidwell of the United Kingdom, to write a book on common sense.",Writing (Book),,"twitter.com/marcsidwell
uk.linkedin.com/in/marcsidwell ","Writer, editor and broadcaster
marcsidwell.com/about/ ","marginalrevolution.com/marginalrevolution/2009/12/facts-about-fairtrade.html
marginalrevolution.com/marginalrevolution/category/science/page/9
marginalrevolution.com/marginalrevolution/2020/01/smith-its-a-capitalist-world.html",marcsidwell.com/,,,
131,Yuen Yuen Ang,11,2020-11-13,marginalrevolution.com/marginalrevolution/2020/11/emergent-ventures-winners-eleventh-cohort.html,"Yuen Yuen Ang, political scientist at the University of Michigan, from Singapore, to write a new book on disruption.",Writing (Book),,"twitter.com/yuenyuenang
linkedin.com/in/yuen-yuen-ang-35a93920 ","Political scientist and China scholar at the University of Michigan, with a PhD from Stanford University
sites.google.com/view/yuenyuenang ","marginalrevolution.com/marginalrevolution/2020/08/why-china-prospered-with-corruption.html
marginalrevolution.com/marginalrevolution/category/science/page/9",google.com/search?source=hp&ei=V-KtX6qEKrOz5NoP1rq8uAc&q=yuen+yuen+ang&gs_ssp=eJzj4tVP1zc0TDOoMomvKC82YPTirSxNzVMAE4l56QCPeAnE&oq=uen+yuen+ang&gs_lcp=CgZwc3ktYWIQARgAMgoILhDJAxANEJMCMgQILhANMgQILhANMgQIABANMgQIABANMgQIABANMgQIABANMgQIABANMgQIABANMgQIABANOgsILhCxAxDJAxCTAjoFCAAQsQM6BQguELEDOgIIADoICAAQsQMQyQM6CwguELEDEMcBEK8BOgUIABDJAzoHCAAQsQMQCjoKCC4QyQMQChCTAjoECAAQCjoHCAAQyQMQDToKCC4QxwEQrwEQDToMCC4QxwEQrwEQDRAKOgYIABANEAo6BgguEA0QClCMAljHDWDmIWgAcAB4AIABeIgBzgeSAQM5LjKYAQCgAQGqAQdnd3Mtd2l6&sclient=psy-ab,,,
132,Matthew Clancy,11,2020-11-13,marginalrevolution.com/marginalrevolution/2020/11/emergent-ventures-winners-eleventh-cohort.html,"Matthew Clancy, Iowa State University, Progress Studies fellow. To build out his newsletter on recent research on innovation.",Writing (Online),,twitter.com/mattsclancy,"Writer, researcher, and educator on the economics of innovation at Iowa State University, and a progress studies fellow at Emergent Ventures at the Mercatus Center
matt-clancy.com/ ",-,matt-clancy.com/,,,
133,Samarth Athreya,11,2020-11-13,marginalrevolution.com/marginalrevolution/2020/11/emergent-ventures-winners-eleventh-cohort.html,"Samarth Athreya, Ontario: “I’m a 17 year old who is incredibly passionate about the advent of biomaterials and its potential to push humanity forward in a variety of industries. I’ve been speaking about my vision and some of my research on the progress of material science and nanotechnology specifically at various events like C2 Montreal, SXSW, and Elevate Tech Festival!”",Career development,High school,"twitter.com/samarthathreya?lang=en
ca.linkedin.com/in/samarth-athreya-1003b4147 ","Making sci-fi real | Building the next generation of diagnostics
samarth.ca/ ",marginalrevolution.com/marginalrevolution/category/science/page/9,twitter.com/samarthathreya?lang=en,,,
134,Applied Divinity Studies,11,2020-11-13,marginalrevolution.com/marginalrevolution/2020/11/emergent-ventures-winners-eleventh-cohort.html,"Applied Divinity Studies, this anonymously written blog has won an award for his or her writing and blogging. We are paying in bitcoin.",Writing (Online),,-,applieddivinitystudies.com/,"marginalrevolution.com/marginalrevolution/2021/05/the-moral-foundations-of-progress.html
marginalrevolution.com/marginalrevolution/2020/12/why-did-the-great-stagnation-end.html
marginalrevolution.com/marginalrevolution/2021/07/tuesday-assorted-links-325.html",applieddivinitystudies.com/,,,
135,Jordan Mafumbo,11,2020-11-13,marginalrevolution.com/marginalrevolution/2020/11/emergent-ventures-winners-eleventh-cohort.html,"Jordan Mafumbo, a Ugandan autodidact and civil engineer studying Heidegger and the foundations of liberalism. He also has won an award for blogging.",Writing (Online),,twitter.com/jordanmafumbo,Autodidact medium.com/@mafumboj/about ,marginalrevolution.com/marginalrevolution/2020/11/blog-and-substack-contest-winners.html,medium.com/@mafumboj/about,,,
136,Markus Strasser,12,2020-12-23,marginalrevolution.com/marginalrevolution/2020/12/emergent-ventureswinners-12th-cohort.html,"Markus Strasser, from Linz and now London, to work on natural language processing for scientific outputs.",Startup,,twitter.com/mkstra,markusstrasser.org/,marginalrevolution.com/marginalrevolution/2020/11/emergent-ventures-winners-eleventh-cohort.html,twitter.com/mkstra?lang=en,,,
137,Andres Leon,12,2020-12-23,marginalrevolution.com/marginalrevolution/2020/12/emergent-ventureswinners-12th-cohort.html,"Andres Leon, a 17-year-old from Mexico City who is building a mobile payments company with his brother.",Startup,High school,linkedin.com/in/alexisleonvader,"CEO
CEO & Founder at Warp
f6s.com/alexlen",-,f6s.com/warpfinance,,,
138,Ifat Lerner,12,2020-12-23,marginalrevolution.com/marginalrevolution/2020/12/emergent-ventureswinners-12th-cohort.html,"Ifat Lerner, Lerner Labs, a new venture customizing education for K-12 students.",Non profit,,linkedin.com/in/imlerner/,-,-,linkedin.com/in/imlerner/,,,
139,Brianna Wolfson,12,2020-12-23,marginalrevolution.com/marginalrevolution/2020/12/emergent-ventureswinners-12th-cohort.html,"Brianna Wolfson, for a start-up focused on teaching corporate culture.",Startup,,"linkedin.com/in/brie-wolfson-17758724/ 
twitter.com/zebriez   ","recipe development 
koolaidco a glimpse of my brain at brieswax.substack.com, used to ",-,briewolfson.com/,,,
140,Mukundh Murthy,12,2020-12-23,marginalrevolution.com/marginalrevolution/2020/12/emergent-ventureswinners-12th-cohort.html,"Mukundh Murthy, 17-year-old from Massachusetts, studies biology, computational biology, and antibiotic resistance; the award is for general career development.",Career development,,"linkedin.com/in/mukundhmurthy/ 
twitter.com/mukundhmurthy?lang=en ","developer passionate about ML, drug discovery",-,twitter.com/mukundhmurthy?lang=en,,,
